"","U.S. food import volume, by food group","Year","Imports"
"1","Foods",2024,2531300
"2","Foods",2023,2156700
"3","Foods",2022,2201700
"4","Foods",2021,2076900
"5","Foods",2020,1886900
"6","Foods",2019,1795500
"7","Foods",2018,1821200
"8","Foods",2017,1847800
"9","Foods",2016,1824800
"10","Foods",2015,1942800
"11","Foods",2014,1720200
"12","Foods",2013,1400500
"13","Foods",2012,1336600
"14","Foods",2011,1270100
"15","Foods",2010,1371500
"16","Foods",2009,1445400
"17","Foods",2008,1411400
"18","Foods",2007,1628200
"19","Foods",2006,1627400
"20","Foods",2005,1797100
"21","Foods",2004,1839200
"22","Foods",2003,1659300
"23","Foods",2002,1700000
"24","Foods",2001,1634000
"25","Foods",2000,1578100
"26","Foods",1999,1439600
